,HOME,AWAY,PER,TS%,TRB%,TOV%,OWS,DWS,VORP,Result
0,Milwaukee Bucks,Brooklyn Nets,0.023704804,0.0035803,0.025507306,-0.072911745,0.454265089,0.335339536,0.644080547,1
1,Los Angeles Lakers,Golden State Warriors,-0.029479932,-0.014649454,-0.051546583,-0.128966004,-0.294494182,-0.699060732,-0.657713687,0
2,Charlotte Hornets,Indiana Pacers,0.040553223,0.000277157,-0.051178296,-0.165176263,0.363533775,-0.564713179,-0.10922103,1
3,Detroit Pistons,Chicago Bulls,-0.150948948,-0.079591647,-0.02191941,0.055267089,-0.958174881,-0.161514372,-0.881539814,0
4,New York Knicks,Boston Celtics,-0.105495372,-0.043924641,-0.005214625,-0.027772052,-0.51179981,-0.463438003,-0.94346389,1
5,Toronto Raptors,Washington Wizards,0.042647696,-0.051956216,0.029259391,-0.105979344,0.698723562,0.692980286,1.002786072,0
6,Memphis Grizzlies,Cleveland Cavaliers,0.095270582,-0.033004677,0.054117017,-0.098210878,0.205515917,0.105444357,0.303412864,1
7,Minnesota Timberwolves,Houston Rockets,0.132588453,0.009967928,0.025343623,-0.130127833,0.67371995,0.686590665,1.122156433,1
8,New Orleans Pelicans,Philadelphia 76ers,-0.045447513,-0.031619784,0.056192359,0.077453674,-0.419929143,-0.335539407,-0.559733418,0
9,San Antonio Spurs,Orlando Magic,0.170312217,0.03861113,0.016997293,-0.110738068,0.675874362,0.01456871,0.643174271,1
10,Utah Jazz,Oklahoma City Thunder,0.192907806,0.113951165,0.080891353,0.042635374,1.448798268,0.559504045,1.364678184,1
11,Portland Trail Blazers,Sacramento Kings,0.11935669,0.049410171,0.083057125,0.017403773,0.887796549,0.78249119,1.168118335,0
12,Phoenix Suns,Denver Nuggets,0.044840527,-0.012263301,-0.013137601,-0.118529332,0.01621247,0.55528802,0.306506876,0
13,Atlanta Hawks,Dallas Mavericks,0.071151128,0.005219788,0.007944195,-0.060025382,0.357300998,-0.649114885,-0.182731812,1
14,Miami Heat,Milwaukee Bucks,-0.04653517,0.026598946,0.001177105,0.178007136,-0.220418132,0.345126962,-0.18094362,1
15,Golden State Warriors,Los Angeles Clippers,0.037510544,0.007475746,0.064932741,0.160277311,0.337489208,0.417136676,0.718219877,1
16,Orlando Magic,New York Knicks,-0.106696545,-0.048875031,-0.059038629,0.048781753,-0.564673541,-0.356860004,-0.608433641,0
17,Washington Wizards,Indiana Pacers,0.031714868,0.012808786,-0.038186191,-0.002187301,-0.192351214,-0.638003315,-0.47316932,1
18,Cleveland Cavaliers,Charlotte Hornets,-0.051955606,-0.012517094,0.033057449,0.025724119,-0.328035171,0.267539602,-0.134294702,0
19,Boston Celtics,Toronto Raptors,0.031132808,0.083072071,0.014141425,0.135938697,0.005427462,0.408461032,0.413847138,0
20,Philadelphia 76ers,Brooklyn Nets,0.017674351,0.007727219,-0.020960045,-0.0444321,0.350423451,0.470901929,0.402820763,0
21,Houston Rockets,Oklahoma City Thunder,0.016535157,0.061703167,-0.014888103,0.142194335,0.451059365,-0.280481239,-0.050147343,1
22,Chicago Bulls,New Orleans Pelicans,0.028356233,0.039265409,-0.050796369,-0.034123182,0.33831006,0.028918811,0.334460171,1
23,Denver Nuggets,San Antonio Spurs,0.007437435,0.046649393,0.034589706,0.113475958,0.518185364,0.109891482,0.552112893,1
24,Los Angeles Lakers,Phoenix Suns,-0.090856626,-0.01501534,-0.028161602,0.105594793,-0.726210446,-0.770061722,-1.052894436,0
25,Sacramento Kings,Utah Jazz,-0.11935669,-0.049410171,-0.083057125,-0.017403773,-0.887796549,-0.78249119,-1.168118335,0
26,Cleveland Cavaliers,Atlanta Hawks,-0.07063172,-0.011202828,0.013188626,0.180618132,-0.547055007,0.56408546,-0.114415071,1
27,Indiana Pacers,Miami Heat,-0.002641839,-0.026547403,-0.015679744,-0.06727337,-0.147437415,-0.136408721,-0.232874282,1
28,Toronto Raptors,Dallas Mavericks,0.031767415,-0.056646838,0.027531118,-0.015672859,0.067237344,0.015233905,-0.022194049,0
29,Chicago Bulls,Detroit Pistons,0.150948948,0.079591647,0.02191941,-0.055267089,0.958174881,0.161514372,0.881539814,1
30,Minnesota Timberwolves,New Orleans Pelicans,0.030127676,0.026062289,-0.054269081,0.011465155,0.33692989,0.281533683,0.508382578,1
31,San Antonio Spurs,Milwaukee Bucks,-0.028675894,-0.021728726,-0.041218878,0.020678487,-0.506035721,-0.088286694,-0.63374119,0
32,Portland Trail Blazers,Phoenix Suns,-0.052277962,-0.034386092,-0.021452105,0.005053374,-0.534397834,-0.665179502,-0.858619769,1
33,Los Angeles Clippers,Memphis Grizzlies,-0.121378743,0.037768868,-0.100928911,0.077385711,-0.578503729,-0.225407456,-0.778117009,0
34,Brooklyn Nets,Charlotte Hornets,-0.026483401,-0.016148937,0.022052782,-0.012097902,-0.414444713,-0.276518175,-0.364557347,0
35,Houston Rockets,Boston Celtics,-0.167142549,-0.04383832,-0.075924779,0.137119453,-0.755124109,-1.322476599,-1.689749127,0
36,New York Knicks,Orlando Magic,0.106696545,0.048875031,0.059038629,-0.048781753,0.564673541,0.356860004,0.608433641,0
37,Oklahoma City Thunder,Philadelphia 76ers,-0.164443447,-0.07722859,-0.008532242,0.076852327,-1.207778568,-0.46011515,-1.12335993,0
38,Sacramento Kings,Golden State Warriors,-0.059148158,-0.020832157,-0.060783573,-0.119622337,-0.347264336,-1.05343172,-0.997757695,0
39,Los Angeles Lakers,Memphis Grizzlies,-0.113348131,0.03059516,-0.087542753,0.108697018,-0.535508703,-0.507331512,-0.717610819,1
40,Charlotte Hornets,Boston Celtics,-0.010425209,-0.019891179,-0.053597171,-0.025397207,0.065616356,-0.776263964,-0.55450527,0
41,Indiana Pacers,Milwaukee Bucks,0.002778597,0.012568637,-0.047560088,0.085009647,-0.039820376,-0.058821361,-0.2795232,0
42,Toronto Raptors,Chicago Bulls,0.005192731,-0.062404799,0.032967019,-0.09734198,0.074596527,0.480039774,0.327667963,0
